"level1","level2","level3","level4","level5","level6","level7"
"2939094","2939097","3631032","2939105","2939380","3888974","2939307"
"4161952","8561054","1734549",NULL,NULL,NULL,NULL
"4161952","8561054","4769628",NULL,NULL,NULL,NULL
"6225450","1340740",NULL,NULL,NULL,NULL,NULL
"2939094","2939127",NULL,NULL,NULL,NULL,NULL
"4165511","3087837",NULL,NULL,NULL,NULL,NULL
"1964329","396605",NULL,NULL,NULL,NULL,NULL
